#Frame     GSA[EELEC]    GSA[EVDW]
     530      88.2798     -16.0433
     531     101.7176     -12.8138
     532     129.0795     -20.4970
     533      91.0895     -15.8688
     534      73.8919     -13.3213
     535      92.1141     -19.1621
     536     114.2556     -11.4660
     537     109.2365      -9.4440
     538      99.6707     -11.7430
     539     130.9860     -10.8889
     540      94.8131      -5.1581
     541     133.4977     -14.7350
     542      90.0808      -4.3971
     543     131.8005      -3.4422
     544     102.1941      -5.1226
     545     129.2740      -9.0507
     546     109.9263      -9.3694
     547     100.9785      -0.4522
     548     140.9743     -14.1579
     549     123.4869      -3.1649
     550     124.1698     -11.8331
     551     160.3716     -10.9657
     552     142.6242      -9.0694
     553      92.7825     -12.0022
     554      93.7350     -13.8029
     555      69.2294     -10.0839
     556      68.7021      -6.1952
     557     141.7731     -14.7173
     558      81.5796     -16.5771
     559      71.6391      -9.3726
     560     122.8297     -13.3441
     561     123.6661     -13.9284
     562     110.6221     -15.9474
     563     126.7640     -11.1845
     564      64.8887      -5.3822
     565      54.6688      -8.0129
     566      78.1884     -12.7296
     567      97.5483      -9.7977
     568      89.9464     -13.8573
     569      48.2370      -5.1988
     570      59.0755      -6.8349
     571      81.5690     -11.6754
     572      66.4695     -10.6727
     573     126.4744     -10.3015
     574      52.4394     -21.9931
     575      62.2040     -20.6771
     576      74.3067     -13.0953
     577      60.6553      -8.4012
     578     121.1387      -9.2180
     579      96.8350     -14.0901
     580      66.3955     -10.6206
     581      23.5146     -16.5936
     582      65.7143     -14.6039
     583      58.3289      -9.6498
     584      33.3293     -11.1106
     585      53.5225      -5.6180
     586      83.7966     -19.1174
     587      36.4868     -12.0310
     588      74.1003      -8.8250
     589      58.3948     -15.2077
     590      95.2570     -22.3064
     591      82.9665     -19.3876
     592      86.9209     -22.9592
     593      85.4249     -21.6428
     594      61.2690     -15.4653
     595      44.2913     -12.9054
     596      61.5748      -2.8302
     597      31.7518      -1.7486
     598      81.5498      -9.6585
     599      62.1740      -3.7990
     600      31.5738      -3.8203
     601      68.4846      -3.5255
     602      51.0200      -3.3591
     603      -1.6822      -3.6549
     604      35.4902      -6.7273
     605      93.4426      -4.4013
     606      57.0974      -6.3603
     607      76.6073      -7.0816
     608      58.9375       2.1069
     609      67.4477      -0.7911
     610      73.1640      -3.3657
     611      84.1524      -3.4566
     612      89.8212      -1.8947
     613     100.0267      -7.8777
     614      77.0409      -4.4549
     615      91.3219     -12.2887
     616      59.8618      -6.8220
     617     132.1502     -20.0122
     618     121.7843     -17.0612
     619      91.5722     -12.3313
     620     117.7956     -20.2729
     621     130.8633     -13.2768
     622     117.9285     -16.6580
     623      72.1614      -9.4495
     624      80.7254     -18.1412
     625      57.5710     -10.0036
     626      69.1958     -13.1859
     627      60.7538      -9.7225
     628      56.8892      -4.8628
     629      57.8737      -2.3707
     630      49.8207      -1.3275
     631     105.1861      -6.0122
     632      65.4274      -2.2236
     633     114.5386       0.2806
     634     121.4373      -8.6865
     635      79.0391      -6.1775
     636      78.7682       0.6439
     637     101.2502      -4.3064
     638     157.5111     -11.0164
     639      99.1398      -8.8774
     640      76.4750     -16.0097
     641      87.8909     -17.1427
     642     113.3949     -13.3515
     643      88.8189     -14.9027
     644     100.5396     -10.7863
     645      94.0002      -9.2602
     646     110.3678      -6.0400
     647      91.8663      -7.9503
     648      99.9095     -10.6957
     649     145.6006      -9.3386
     650     114.8506      -6.3354
     651     106.8106      -6.1529
     652      90.7583     -11.4648
     653      91.0920      -2.8631
     654     112.6290      -5.8390
     655     119.9514      -7.8729
     656     113.7106      -8.4220
     657     115.3492      -8.7569
     658     113.8353      -1.3638
     659     115.0447     -10.7515
     660     108.8690      -8.9012
     661      99.7719      -4.1342
     662      64.1545      -6.7878
     663     106.7007      -2.8187
     664     128.5654      -7.6018
     665      80.1743      -1.0329
     666     110.5365      -0.9296
     667      34.3631       0.1591
     668      87.5426      -9.2839
     669      82.9798      -9.4193
     670     122.1837     -19.4750
     671      96.8969     -11.0333
     672      93.0801     -13.8568
     673     102.3444     -15.7770
     674      89.4080     -15.1097
     675      78.5602     -18.5625
     676      68.4632     -18.6773
     677      79.7448     -21.9903
     678      69.5732     -12.0204
     679      73.8264     -16.7760
     680      80.4244     -23.8720
     681      66.2159     -18.7679
     682     112.1382     -27.0902
     683     106.2816     -23.8432
     684      73.7035     -16.7979
     685      95.2231     -18.4702
     686      66.5042     -17.3377
     687      92.2611     -21.5029
     688     101.3903     -20.6818
     689     101.2821     -23.9674
     690      84.2150      -9.6530
     691      86.8724     -23.6148
     692     130.1246     -21.8447
     693     139.7680     -21.8886
     694      75.7102     -22.2633
     695      81.9337     -18.7295
     696      75.8365     -19.6211
     697     114.4101     -22.2261
     698     116.4091     -21.9668
     699      75.8588     -21.6628
     700      79.4967     -22.0094
     701      78.8098     -21.5539
     702      96.0615     -12.9084
     703     108.0613     -18.8468
     704     121.5540     -21.4210
     705     106.9685     -16.0106
     706     104.4165     -21.6881
     707     133.3971     -15.9830
     708     126.9912     -24.1039
     709      75.9545     -13.6172
     710      95.5935     -27.4622
     711      30.2363     -25.7870
     712      42.6001     -23.6630
     713      32.0710     -28.2888
     714      47.7852     -20.7527
     715      11.8189     -22.8316
     716      43.7557     -27.5143
     717     136.0456     -26.5062
     718      53.1943     -21.3205
     719     138.8170     -20.5293
     720     109.5818     -19.2949
     721     159.0327     -20.2629
     722     132.5746     -20.3715
     723      92.7217     -13.3964
     724     118.9689     -18.5194
     725     108.6679     -14.1479
     726     124.6024     -16.5386
     727     114.5164     -24.0551
     728     122.3076     -21.1192
     729     111.9535     -20.3377
     730     130.5975     -20.7658
     731     128.4892     -18.1645
     732     105.5347     -18.9251
     733      89.6540     -16.0632
     734     114.7901     -14.7553
     735     121.2245     -15.4657
     736     125.5269     -17.5985
     737     129.9604     -22.4361
     738     137.3948     -29.0180
     739     122.8402     -32.8587
     740      85.9793     -29.7641
     741      84.9876     -25.6259
     742     131.7053     -31.1259
     743     119.9764     -27.7460
     744      56.1845     -25.7821
     745     110.0481     -18.6520
     746     105.3421     -29.0695
     747      65.9978     -30.6200
     748     100.0804     -27.7321
     749     106.1437     -30.2212
     750     165.7572     -32.4536
     751     105.1129     -24.7814
     752     109.5741     -31.1512
     753     105.8503     -30.2660
     754      77.6162     -27.0488
     755     131.2262     -19.8375
     756      98.9420     -23.8243
     757     123.1226     -20.3475
     758      80.0008     -17.4946
     759     105.2605     -21.3909
     760     168.3958     -25.5132
     761     208.5066     -30.1232
     762     163.6906     -27.8952
     763     168.9369     -26.1038
     764     180.1630     -25.4612
     765     213.7527     -31.1905
     766     192.7955     -28.3043
     767     154.0714     -25.8020
     768     130.8163     -23.5248
     769     134.7442     -28.0748
     770     148.9479     -28.4439
     771      98.7884     -31.1809
     772     135.9716     -31.1718
     773     173.4147     -32.8836
